Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
playstation-2,Playstation 2.,"<h2 data-start=""134"" data-end=""192"">🎮 PlayStation 2 (PS2) – O Clássico que Marcou Gerações</h2>
<p data-start=""194"" data-end=""459"">O <strong data-start=""196"" data-end=""219"">PlayStation 2 (PS2)</strong> é um dos consoles mais icônicos da história dos videogames, conhecido por sua enorme biblioteca de jogos e desempenho confiável. Ideal para quem busca <strong data-start=""371"" data-end=""384"">nostalgia</strong>, diversão em família ou quer reviver grandes clássicos que marcaram época.</p>
<p data-start=""461"" data-end=""710"">Com gráficos avançados para sua geração e jogabilidade envolvente, o PS2 oferece horas de entretenimento com títulos lendários como <strong data-start=""593"" data-end=""612"">GTA San Andreas</strong>, <strong data-start=""614"" data-end=""628"">God of War</strong>, <strong data-start=""630"" data-end=""649"">Resident Evil 4</strong>, <strong data-start=""651"" data-end=""669"">Need for Speed</strong>, <strong data-start=""671"" data-end=""688"">Mortal Kombat</strong>, entre muitos outros.</p>
<hr data-start=""712"" data-end=""715"">
<h3 data-start=""717"" data-end=""749"">✅ Principais Características</h3>
<ul data-start=""750"" data-end=""1011"">
<li data-start=""750"" data-end=""791"">
<p data-start=""752"" data-end=""791"">Console original <strong data-start=""769"" data-end=""791"">Sony PlayStation 2</strong></p>
</li>
<li data-start=""792"" data-end=""832"">
<p data-start=""794"" data-end=""832"">Compatível com <strong data-start=""809"" data-end=""832"">mais de 4.000 jogos</strong></p>
</li>
<li data-start=""833"" data-end=""861"">
<p data-start=""835"" data-end=""861"">Leitor de jogos em <strong data-start=""854"" data-end=""861"">DVD</strong></p>
</li>
<li data-start=""862"" data-end=""892"">
<p data-start=""864"" data-end=""892"">Suporte para <strong data-start=""877"" data-end=""892"">Memory Card</strong></p>
</li>
<li data-start=""893"" data-end=""920"">
<p data-start=""895"" data-end=""920"">2 entradas para controles</p>
</li>
<li data-start=""921"" data-end=""964"">
<p data-start=""923"" data-end=""964"">Compatível com jogos de <strong data-start=""947"" data-end=""964"">PlayStation 1</strong></p>
</li>
<li data-start=""965"" data-end=""1011"">
<p data-start=""967"" data-end=""1011"">Áudio e vídeo de alta qualidade para a época</p>
</li>
</ul>
<hr data-start=""1013"" data-end=""1016"">
<h3 data-start=""1018"" data-end=""1050"">📦 O que acompanha o produto</h3>
<ul data-start=""1051"" data-end=""1165"">
<li data-start=""1051"" data-end=""1078"">
<p data-start=""1053"" data-end=""1078"">1 Console PlayStation 2</p>
</li>
<li data-start=""1079"" data-end=""1118"">
<p data-start=""1081"" data-end=""1118"">1 ou 2 Controles (conforme anúncio)</p>
</li>
<li data-start=""1119"" data-end=""1145"">
<p data-start=""1121"" data-end=""1145"">Cabos de áudio e vídeo</p>
</li>
<li data-start=""1146"" data-end=""1165"">
<p data-start=""1148"" data-end=""1165"">Cabo de energia</p>
</li>
</ul>
<hr data-start=""1167"" data-end=""1170"">
<h3 data-start=""1172"" data-end=""1190"">🎯 Ideal para:</h3>
<ul data-start=""1191"" data-end=""1294"">
<li data-start=""1191"" data-end=""1213"">
<p data-start=""1193"" data-end=""1213"">Fãs de games retrô</p>
</li>
<li data-start=""1214"" data-end=""1232"">
<p data-start=""1216"" data-end=""1232"">Colecionadores</p>
</li>
<li data-start=""1233"" data-end=""1247"">
<p data-start=""1235"" data-end=""1247"">Presentear</p>
</li>
<li data-start=""1248"" data-end=""1294"">
<p data-start=""1250"" data-end=""1294"">Relembrar grandes clássicos dos videogames</p>
</li>
</ul>",Black Core,Electronics > Video Game Consoles,"","",false,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,129.98,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/ps2.webp?v=1775650295,1,"",false,,,,kg,,,draft
patinete-eletrico,Patinete Elétrico,"<h3 data-start=""99"" data-end=""180"">⚡ Patinete Elétrico Adulto 500W – Potência, Conforto e Mobilidade Inteligente</h3>
<p data-start=""182"" data-end=""484"">O <strong data-start=""184"" data-end=""217"">Patinete Elétrico Adulto 500W</strong> é a escolha ideal para quem busca praticidade, desempenho e conforto no dia a dia. Com <strong data-start=""305"" data-end=""330"">motor potente de 500W</strong>, ele oferece aceleração suave e eficiente, atingindo <strong data-start=""384"" data-end=""420"">velocidade máxima de até 32 km/h</strong>, perfeito para deslocamentos urbanos, lazer ou trajetos curtos.</p>
<p data-start=""486"" data-end=""830"">Projetado para garantir uma experiência estável e confortável, conta com <strong data-start=""559"" data-end=""589"">sistema de suspensão dupla</strong>, que absorve impactos e irregularidades do terreno, proporcionando uma condução mais segura e agradável. Seu design moderno combina resistência, tecnologia e estilo, tornando-o uma excelente alternativa aos meios de transporte tradicionais.</p>
<h4 data-start=""832"" data-end=""862"">🔧 Principais Benefícios:</h4>
<ul data-start=""863"" data-end=""1231"">
<li data-start=""863"" data-end=""916"">
<p data-start=""865"" data-end=""916"">⚙️ <strong data-start=""868"" data-end=""893"">Motor potente de 500W</strong> para alto desempenho</p>
</li>
<li data-start=""917"" data-end=""960"">
<p data-start=""919"" data-end=""960"">🚀 <strong data-start=""922"" data-end=""958"">Velocidade máxima de até 32 km/h</strong></p>
</li>
<li data-start=""961"" data-end=""1032"">
<p data-start=""963"" data-end=""1032"">🛞 <strong data-start=""966"" data-end=""996"">Sistema de suspensão dupla</strong> para mais conforto e estabilidade</p>
</li>
<li data-start=""1033"" data-end=""1100"">
<p data-start=""1035"" data-end=""1100"">🧍♂️ <strong data-start=""1041"" data-end=""1066"">Indicado para adultos</strong>, com estrutura robusta e segura</p>
</li>
<li data-start=""1101"" data-end=""1163"">
<p data-start=""1103"" data-end=""1163"">🌱 <strong data-start=""1106"" data-end=""1131"">Ecológico e econômico</strong>, ideal para mobilidade urbana</p>
</li>
<li data-start=""1164"" data-end=""1231"">
<p data-start=""1166"" data-end=""1231"">✨ <strong data-start=""1168"" data-end=""1197"">Design moderno e compacto</strong>, fácil de transportar e guardar</p>
</li>
</ul>
<p data-start=""1233"" data-end=""1387"">Ideal para quem quer <strong data-start=""1254"" data-end=""1289"">agilidade, conforto e liberdade</strong> em cada trajeto. Aposte em um meio de transporte eficiente e moderno para transformar sua rotina!</p>",Black Core,Sporting Goods > Outdoor Recreation > Riding Scooters > E-Scooters > Commuter E-Scooters,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,399.98,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/patinete.png?v=1775650294,1,"",false,,,,kg,,,active
patinete-eletrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/patinetess.webp?v=1775650294,2,"",,,,,,,,
patinete-eletrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/patinets.webp?v=1775650294,3,"",,,,,,,,
patinete-eletrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/patinetesss.webp?v=1775650293,4,"",,,,,,,,
playstation-4-slim-entrada-restante,Playstation 4 Slim Entrada Restante,<p></p>,Black Core,Electronics > Video Game Consoles,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,99.98,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/326294803_3078815975742964_446322799515747729_n.jpg?v=1775650291,1,"",false,,,,kg,,,draft
memoria-ram-kingston-fury-beast-8gb-3200mhz-ddr4,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4 ⭐⭐⭐⭐⭐","<h2>Memória Kingston FURY Beast DDR4</h2>
<p> </p>
<h3>Desempenho Máximo para Suas Aventuras Digitais!</h3>
<p>Liberte o potencial máximo do seu computador com a Memória Kingston FURY Beast DDR4! Projetada para gamers, editores de vídeo e profissionais de renderização, esta memória oferece um<span> </span><strong>aumento de performance</strong><span> </span>poderoso e confiável.</p>
<p> </p>
<h3>Overclock Automático Plug N Play</h3>
<p>A FURY Beast<span> </span><strong>DDR4</strong><span> </span>ajusta-se automaticamente à velocidade máxima suportada pelo seu sistema, sem necessidade de configurações complexas.</p>
<p><strong>Compatibilidade</strong><span> </span>Total: Pronta para<span> </span><strong>Intel XMP e AMD Ryzen</strong>, garantindo integração perfeita com as plataformas mais populares.</p>
<p><strong>Velocidades Incríveis</strong>: Experimente tempos de<span> </span><strong>carregamento ultrarrápidos</strong><span> </span>e multitarefa suave para jogos, edição de vídeo e muito mais.</p>
<p> </p>
<h3>Refrigeração e Confiabilidade</h3>
<p><strong>Dissipador de Calor</strong><span> </span>de Perfil Baixo: Mantenha sua memória fria e funcionando com desempenho máximo, mesmo durante as sessões de uso mais intensas.</p>
<p>Qualidade Kingston: 100% testada na fábrica para garantir a máxima confiabilidade e durabilidade.</p>",Black Core,Electronics > Electronics Accessories > Memory > RAM,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,234.98,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-black-kf432c16bb8_129477.jpg?v=1775650290,1,"",false,,,,kg,,,active
memoria-ram-kingston-fury-beast-8gb-3200mhz-ddr4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-black-kf432c16bb8_129475.jpg?v=1775650290,2,"",,,,,,,,
cadeira-gamer-rgb-promocao,Cadeira Gamer RGB Promoção! ⭐⭐⭐⭐⭐,"<p data-start=""207"" data-end=""465"">🔵 <strong data-start=""210"" data-end=""238"">Iluminação RGB Integrada</strong><br data-start=""238"" data-end=""241"">✔️ Leve seu setup para outro nível com a iluminação RGB integrada nas laterais da cadeira. Com efeitos personalizáveis, você pode combinar as luzes com seu ambiente gamer e criar uma atmosfera imersiva durante suas partidas.</p>
<p data-start=""467"" data-end=""722"">🔵 <strong data-start=""470"" data-end=""503"">Design Ergonômico e Funcional</strong><br data-start=""503"" data-end=""506"">✔️ Desenvolvida para oferecer o máximo de conforto, a Cadeira Gamer RGB possui encosto reclinável, assento acolchoado e formato anatômico que se adapta ao seu corpo, garantindo conforto mesmo nas sessões mais longas.</p>
<p data-start=""724"" data-end=""963"">🔵 <strong data-start=""727"" data-end=""772"">Ajustes Precisos e Conforto Personalizado</strong><br data-start=""772"" data-end=""775"">✔️ Conta com ajustes de altura, braços reguláveis e reclinação de até 180°, permitindo que você encontre a posição perfeita para jogar, trabalhar ou descansar com total suporte e conforto.</p>
<p data-start=""965"" data-end=""1188"">🔵 <strong data-start=""968"" data-end=""1005"">Acabamento Premium e Durabilidade</strong><br data-start=""1005"" data-end=""1008"">✔️ Estrutura reforçada em aço e revestimento em couro sintético resistente garantem estabilidade e longa vida útil, suportando uso intenso sem comprometer o desempenho ou o visual.</p>
<p data-start=""1190"" data-end=""1365"">🔵 <strong data-start=""1193"" data-end=""1224"">Almofadas de Apoio Inclusas</strong><br data-start=""1224"" data-end=""1227"">✔️ Acompanha almofadas removíveis para apoio lombar e cervical, aliviando a tensão e melhorando sua postura durante horas de uso contínuo.</p>
<p data-start=""1367"" data-end=""1568"">🔵 <strong data-start=""1370"" data-end=""1403"">Mobilidade Suave e Silenciosa</strong><br data-start=""1403"" data-end=""1406"">✔️ Equipada com rodízios de alta qualidade e base giratória 360°, oferece movimentos fluidos, facilitando sua movimentação sem riscos ao piso ou ruídos incômodos.</p>
<p data-start=""1570"" data-end=""1767"">🔵 <strong data-start=""1573"" data-end=""1617"">Visual Impactante para Gamers de Verdade</strong><br data-start=""1617"" data-end=""1620"">✔️ Além do conforto, a iluminação RGB e o design moderno tornam essa cadeira o destaque do seu setup. Ideal para quem busca performance com estilo.</p>",Black Core,Furniture > Chairs > Gaming Chairs,"","",true,Title,Default Title,,,,,,,,,0.0,,-3,deny,manual,280.95,499.99,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/CADEIRAG_e6c16d3a-55ad-4fe3-a201-cd9711292669.webp?v=1775650289,1,"",false,,,,kg,,,active
cadeira-gamer-rgb-promocao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/CADEIRARGB_4a973b9b-2f24-47b2-bc2a-f59dec5bc71e.webp?v=1775650288,2,"",,,,,,,,
cadeira-gamer-rgb-promocao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0804/6372/4767/files/CADEIRAS2_f741d9b6-44ee-40db-b853-e1a271b2488d.webp?v=1775650288,3,"",,,,,,,,
black-myth-wukong-ps5,black myth wukong ps5,"<p data-start=""130"" data-end=""158""><strong data-start=""130"" data-end=""158"">Black Myth: Wukong - PS5</strong></p>
<p data-start=""160"" data-end=""409"">Mergulhe em uma jornada épica inspirada na lenda de ""Jornada ao Oeste""! Em <em data-start=""235"" data-end=""255"">Black Myth: Wukong</em>, você assume o papel do Rei Macaco em uma aventura intensa com combates desafiadores, gráficos de última geração e um mundo repleto de criaturas míticas.</p>
<p data-start=""411"" data-end=""668"">Explore cenários deslumbrantes, enfrente chefes imponentes e desbloqueie habilidades lendárias enquanto desvenda os segredos do seu passado. Totalmente otimizado para o PlayStation 5, com carregamento ultrarrápido, efeitos visuais incríveis e imersão total.</p>
<p data-start=""670"" data-end=""753""><strong data-start=""670"" data-end=""725"">Adquira o seu agora e embarque nessa lenda imortal!</strong></p>",Black Core,Software > Video Game Software,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,149.99,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/Capturadetela2025-06-05184017.png?v=1775650287,1,"",false,,,,kg,,,active
bebe-reborn-realista-1,Bebê Reborn Realista,"<p><strong>Bebê Reborn Realista – Uma Experiência Incrível de Realismo e Cuidado</strong></p>
<p>🟠 <strong>Aparência Ultra Realista</strong><br>✔️ O <strong>Bebê Reborn Realista</strong> é meticulosamente <strong>articulado e pintado à mão</strong> para imitar com precisão os traços de um bebê de verdade. Com <strong>pele macia</strong>, <strong>cabelos implantados manualmente</strong> e até as <strong>unhas realistas</strong>, ele proporciona uma experiência de cuidado e carinho genuína.</p>
<p>🟠 <strong>Tamanho Real de um Bebê de Verdade</strong><br>✔️ Com <strong>aproximadamente 45 cm</strong>, o <strong>Bebê Reborn Realista</strong> possui as proporções exatas de um recém-nascido, tornando-o perfeito para quem busca uma <strong>experiência autêntica</strong> de brincar de mãe e filho.</p>
<p>🟠 <strong>Material de Alta Qualidade e Confortável</strong><br>✔️ Fabricado com <strong>silicone macio e vinil</strong> de alta qualidade, o bebê reborn oferece uma <strong>sensação de toque realista</strong>, tornando-o ainda mais perfeito para <strong>brincadeiras, colecionadores</strong> ou como <strong>presente especial</strong> para quem aprecia peças exclusivas e realistas.</p>
<p>🟠 <strong>Roupinhas e Acessórios Personalizáveis</strong><br>✔️ O <strong>Bebê Reborn Realista</strong> vem com <strong>roupinhas fofas e delicadas</strong>, que podem ser trocadas e personalizadas conforme o gosto do cuidador. Além disso, você pode adicionar acessórios como chupetas, mamadeiras e cobertores, criando uma experiência completa de cuidado com o bebê.</p>
<p>🟠 <strong>Ideal para Colecionadores e Crianças</strong><br>✔️ Seja para quem busca uma <strong>peça de coleção única</strong> ou para crianças que adoram brincar de cuidar, o <strong>Bebê Reborn Realista</strong> oferece uma <strong>experiência de vínculo e aprendizado</strong>, ajudando a desenvolver empatia, paciência e cuidados com o próximo.</p>
<p>🟠 <strong>Perfeito para Presentes Especiais</strong><br>✔️ Com sua <strong>aparência encantadora</strong> e qualidade de fabricação, o <strong>Bebê Reborn Realista</strong> é o presente perfeito para quem ama crianças, <strong>colecionadores de bonecas</strong> ou para alguém que aprecia o <strong>realismo</strong> e os <strong>detalhes</strong> de um brinquedo único.</p>",Black Core,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,179.99,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0804/6372/4767/files/FOTO_BB3.jpg?v=1775650285,1,"",false,,,,kg,,,active
